party,priority,name,yomi,lastname,firstname,last_kana,first_kana,age,status,previous,home,win,votes
自民,1,舞立 昇治,まいたち しょうじ,舞立,昇治,まいたち,しょうじ,49,現,3,鳥取県,1,NA
自民,1,福山 守,ふくやま まもる,福山,守,ふくやま,まもる,72,新,1,徳島県,1,NA
自民,0,犬童 周作,いんどう しゅうさく,犬童,周作,いんどう,しゅうさく,57,新,1,神奈川県,1,482058
自民,0,山田 太郎,やまだ たろう,山田,太郎,やまだ,たろう,58,現,3,東京都,1,381185
自民,0,見坂 茂範,けんざか しげのり,見坂,茂範,けんざか,しげのり,57,新,1,千葉県,1,218072
自民,0,東野 秀樹,ひがしの ひでき,東野,秀樹,ひがしの,ひでき,53,新,1,北海道,1,187946
自民,0,橋本 聖子,はしもと せいこ,橋本,聖子,はしもと,せいこ,60,現,6,千葉県,1,176404
自民,0,釜萢 敏,かまやち さとし,釜萢,敏,かまやち,さとし,72,新,1,東京都,1,174434
自民,0,有村 治子,ありむら はるこ,有村,治子,ありむら,はるこ,54,現,5,東京都,1,166025
自民,0,石田 昌宏,いしだ まさひろ,石田,昌宏,いしだ,まさひろ,58,現,3,東京都,1,152649
自民,0,本田 顕子,ほんだ あきこ,本田,顕子,ほんだ,あきこ,53,現,2,熊本県,1,152518
自民,0,鈴木 宗男,すずき むねお,鈴木,宗男,すずき,むねお,77,前,2,北海道,1,132633
自民,0,佐藤 正久,さとう まさひさ,佐藤,正久,さとう,まさひさ,64,現,3,埼玉県,0,127619
自民,0,宮崎 雅夫,みやざき まさお,宮崎,雅夫,みやざき,まさお,61,現,1,東京都,0,127001
自民,0,山東 昭子,さんとう あきこ,山東,昭子,さんとう,あきこ,83,現,8,東京都,0,126381
自民,0,岸 博幸,きし ひろゆき,岸,博幸,きし,ひろゆき,62,新,0,東京都,0,110391
自民,0,赤池 誠章,あかいけ まさあき,赤池,誠章,あかいけ,まさあき,64,現,2,山梨県,0,102834
自民,0,比嘉 奈津美,ひが なつみ,比嘉,奈津美,ひが,なつみ,66,現,1,沖縄県,0,101975
自民,0,田中 昌史,たなか まさし,田中,昌史,たなか,まさし,59,現,1,東京都,0,88432
自民,0,阿部 恭久,あべ やすひさ,阿部,恭久,あべ,やすひさ,66,新,0,東京都,0,88368
自民,0,宮窪 大作,みやくぼ だいさく,宮窪,大作,みやくぼ,だいさく,50,新,0,NA,0,80326
自民,0,中田 宏,なかだ ひろし,中田,宏,なかだ,ひろし,60,現,1,神奈川県,0,79307
自民,0,杉田 水脈,すぎた みお,杉田,水脈,すぎた,みお,58,新,0,山口県,0,77040
自民,0,和田 政宗,わだ まさむね,和田,政宗,わだ,まさむね,50,現,2,宮城県,0,64665
自民,0,斉藤 正行,さいとう まさゆき,斉藤,正行,さいとう,まさゆき,47,新,0,東京都,0,52988
自民,0,繁本 護,しげもと まもる,繁本,護,しげもと,まもる,52,新,0,京都府,0,45406
自民,0,長尾 敬,ながお たかし,長尾,敬,ながお,たかし,62,新,0,大阪府,0,34948
自民,0,中田 フィッシュ,なかた ふぃっしゅ,中田,フィッシュ,なかた,ふぃっしゅ,39,新,0,東京都,0,26738
自民,0,斉藤 里恵,さいとう りえ,斉藤,里恵,さいとう,りえ,41,新,0,NA,0,24780
自民,0,畦元 将吾,あぜもと しょうご,畦元,将吾,あぜもと,しょうご,67,新,0,東京都,0,19540
自民,0,藤田 誠,ふじた まこと,藤田,誠,ふじた,まこと,52,新,0,東京都,0,9366
公明,0,平木 大作,ひらき だいさく,平木,大作,ひらき,だいさく,50,現,3,千葉県,1,377986
公明,0,司 隆史,つかさ たかし,司,隆史,つかさ,たかし,45,新,1,大阪府,1,341441
公明,0,佐々木 雅文,ささき まさふみ,佐々木,雅文,ささき,まさふみ,44,新,1,宮城県,1,325345
公明,0,原田 大二郎,はらだ だいじろう,原田,大二郎,はらだ,だいじろう,47,新,1,愛媛県,1,310047
公明,0,河野 義博,かわの よしひろ,河野,義博,かわの,よしひろ,47,現,2,東京都,0,291436
公明,0,新妻 秀規,にいづま ひでき,新妻,秀規,にいづま,ひでき,54,現,2,愛知県,0,218999
公明,0,河合 綾,かわい あや,河合,綾,かわい,あや,59,新,0,群馬県,0,10084
公明,0,塩田 博昭,しおた ひろあき,塩田,博昭,しおた,ひろあき,63,現,1,東京都,0,9874
公明,0,村岡 正敏,むらおか まさとし,村岡,正敏,むらおか,まさとし,43,新,0,東京都,0,8760
公明,0,中北 京子,なかきた きょうこ,中北,京子,なかきた,きょうこ,47,新,0,東京都,0,7208
公明,0,高橋 次郎,たかはし じろう,高橋,次郎,たかはし,じろう,57,現,1,埼玉県,0,6781
公明,0,竹原 浩子,たけはら ひろこ,竹原,浩子,たけはら,ひろこ,34,新,0,東京都,0,4664
公明,0,竹島 正人,たけしま まさと,竹島,正人,たけしま,まさと,47,新,0,東京都,0,3985
公明,0,水島 春香,みずしま はるか,水島,春香,みずしま,はるか,36,新,0,埼玉県,0,3527
公明,0,藤井 伸城,ふじい のぶしろ,藤井,伸城,ふじい,のぶしろ,45,新,0,東京都,0,2275
公明,0,羽場 正文,はば まさふみ,羽場,正文,はば,まさふみ,42,新,0,東京都,0,1799
公明,0,荒神 享佑,こうじん きょうすけ,荒神,享佑,こうじん,きょうすけ,48,新,0,東京都,0,754
立憲,0,蓮舫,れんほう,蓮舫,NA,れんほう,NA,57,前,5,東京都,1,339311
立憲,0,岸 真紀子,きし まきこ,岸,真紀子,きし,まきこ,49,現,2,北海道,1,147648
立憲,0,吉川 沙織,よしかわ さおり,吉川,沙織,よしかわ,さおり,48,現,4,東京都,1,116314
立憲,0,水岡 俊一,みずおか しゅんいち,水岡,俊一,みずおか,しゅんいち,69,現,4,兵庫県,1,116142
立憲,0,小沢 雅仁,おざわ まさひと,小沢,雅仁,おざわ,まさひと,59,現,2,山梨県,1,99963
立憲,0,郡山 玲,こおりやま りょう,郡山,玲,こおりやま,りょう,51,新,1,東京都,1,94610
立憲,0,森 ゆうこ,もり ゆうこ,森,ゆうこ,もり,ゆうこ,69,前,4,新潟県,1,92395
立憲,0,白 真勲,はく しんくん,白,真勲,はく,しんくん,66,前,3,東京都,0,89882
立憲,0,石川 大我,いしかわ たいが,石川,大我,いしかわ,たいが,51,現,1,東京都,0,84721
立憲,0,森屋 隆,もりや たかし,森屋,隆,もりや,たかし,58,現,1,東京都,0,74495
立憲,0,川田 龍平,かわだ りゅうへい,川田,龍平,かわだ,りゅうへい,49,現,3,京都府,0,51276
立憲,0,太田 真平,おおた しんぺい,太田,真平,おおた,しんぺい,38,新,0,静岡県,0,8109
立憲,0,木村 正弘,きむら まさひろ,木村,正弘,きむら,まさひろ,59,新,0,山形県,0,7300
立憲,0,原谷 那美,はらや なみ,原谷,那美,はらや,なみ,41,新,0,北海道,0,3944
立憲,0,平原 麗子,ひらはら れいこ,平原,麗子,ひらはら,れいこ,47,新,0,兵庫県,0,3943
立憲,0,渡辺 雅行,わたなべ まさゆき,渡辺,雅行,わたなべ,まさゆき,63,新,0,富山県,0,3926
立憲,0,越智 紀江,おち のりえ,越智,紀江,おち,のりえ,48,新,0,愛媛県,0,3408
立憲,0,古山 葉子,ふるやま ようこ,古山,葉子,ふるやま,ようこ,60,新,0,東京都,0,3171
立憲,0,江畑 弥八郎,えばた やはちろう,江畑,弥八郎,えばた,やはちろう,70,新,0,滋賀県,0,2616
立憲,0,寺田 博英,てらだ ひろひで,寺田,博英,てらだ,ひろひで,48,新,0,島根県,0,2568
立憲,0,西野 克也,にしの かつや,西野,克也,にしの,かつや,65,新,0,長崎県,0,2559
立憲,0,徳田 稚子,とくだ わかこ,徳田,稚子,とくだ,わかこ,55,新,0,鹿児島県,0,2146
維新,0,嘉田 由紀子,かだ ゆきこ,嘉田,由紀子,かだ,ゆきこ,75,現,2,滋賀県,1,101566
維新,0,石井 めぐみ,いしい めぐみ,石井,めぐみ,いしい,めぐみ,46,新,1,茨城県,1,62593
維新,0,柴田 巧,しばた たくみ,柴田,巧,しばた,たくみ,64,現,3,富山県,1,54101
維新,0,石 平,せき へい,石,平,せき,へい,63,新,1,奈良県,1,47939
維新,0,藤原 宏宣,ふじわら ひろのぶ,藤原,宏宣,ふじわら,ひろのぶ,44,新,0,兵庫県,0,39006
維新,0,久保 優太,くぼ ゆうた,久保,優太,くぼ,ゆうた,37,新,0,沖縄県,0,31412
維新,0,村山 祥栄,むらやま しょうえい,村山,祥栄,むらやま,しょうえい,47,新,0,京都府,0,28543
維新,0,柳ケ瀬 裕文,やながせ ひろふみ,柳ケ瀬,裕文,やながせ,ひろふみ,50,現,1,東京都,0,27991
維新,0,山口 和之,やまぐち かずゆき,山口,和之,やまぐち,かずゆき,69,現,2,福島県,0,20829
維新,0,神戸 輝明,かんべ てるあき,神戸,輝明,かんべ,てるあき,49,新,0,静岡県,0,18541
維新,0,宮沢 靖,みやざわ やすし,宮沢,靖,みやざわ,やすし,61,新,0,東京都,0,15754
維新,0,赤嶺 昇,あかみね のぼる,赤嶺,昇,あかみね,のぼる,58,新,0,沖縄県,0,14665
維新,0,南原 竜樹,なんばら たつき,南原,竜樹,なんばら,たつき,65,新,0,愛知県,0,6309
共産,0,小池 晃,こいけ あきら,小池,晃,こいけ,あきら,65,現,5,東京都,1,107866
共産,0,白川 容子,しらかわ ようこ,白川,容子,しらかわ,ようこ,59,新,1,香川県,1,34418
共産,0,山下 芳生,やました よしき,山下,芳生,やました,よしき,65,現,4,大阪府,0,32576
共産,0,井上 哲士,いのうえ さとし,井上,哲士,いのうえ,さとし,67,現,4,京都府,0,28202
共産,0,畠山 和也,はたやま かずや,畠山,和也,はたやま,かずや,53,新,0,北海道,0,19623
共産,0,山田 みのり,やまだ みのり,山田,みのり,やまだ,みのり,49,新,0,大阪府,0,17907
共産,0,平 あや子,たいら あやこ,平,あや子,たいら,あやこ,45,新,0,新潟県,0,9314
共産,0,伊藤 和子,いとう かずこ,伊藤,和子,いとう,かずこ,67,新,0,埼玉県,0,5103
共産,0,矢野 由紀子,やの ゆきこ,矢野,由紀子,やの,ゆきこ,61,新,0,埼玉県,0,4559
共産,0,赤石 博子,あかいし ひろこ,赤石,博子,あかいし,ひろこ,64,新,0,神奈川県,0,4411
共産,0,福島 一恵,ふくしま かずえ,福島,一恵,ふくしま,かずえ,64,新,0,宮城県,0,3336
共産,0,小山田 友子,おやまだ ともこ,小山田,友子,おやまだ,ともこ,32,新,0,福島県,0,2878
共産,0,鈴木 弘一,すずき こういち,鈴木,弘一,すずき,こういち,50,新,0,愛知県,0,2431
共産,0,西山 頌秀,にしやま のぶひで,西山,頌秀,にしやま,のぶひで,38,新,0,京都府,0,1974
共産,0,松崎 真琴,まつざき まこと,松崎,真琴,まつざき,まこと,67,新,0,鹿児島県,0,1957
共産,0,大岸 真弓,おおぎし まゆみ,大岸,真弓,おおぎし,まゆみ,73,新,0,高知県,0,1940
共産,0,岩本 義孝,いわもと よしたか,岩本,義孝,いわもと,よしたか,57,新,0,福岡県,0,1678
共産,0,藤本 真人,ふじもと まさと,藤本,真人,ふじもと,まさと,41,新,0,千葉県,0,1530
共産,0,住寄 聡美,すみより さとみ,住寄,聡美,すみより,さとみ,42,新,0,岡山県,0,929
国民,0,田村 麻美,たむら まみ,田村,麻美,たむら,まみ,49,現,2,東京都,1,205331
国民,0,浜野 喜史,はまの よしふみ,浜野,喜史,はまの,よしふみ,64,現,3,東京都,1,193599
国民,0,礒崎 哲史,いそざき てつじ,礒崎,哲史,いそざき,てつじ,56,現,3,東京都,1,181976
国民,0,伊藤 辰夫,いとう たつお,伊藤,辰夫,いとう,たつお,60,新,1,愛知県,1,124921
国民,0,足立 康史,あだち やすし,足立,康史,あだち,やすし,59,新,1,大阪府,1,123051
国民,0,平戸 航太,ひらど こうた,平戸,航太,ひらど,こうた,38,新,1,千葉県,1,92137
国民,0,山田 吉彦,やまだ よしひこ,山田,吉彦,やまだ,よしひこ,62,新,1,東京都,1,74512
国民,0,須藤 元気,すどう げんき,須藤,元気,すどう,げんき,47,前,1,東京都,0,61416
国民,0,大谷 由里子,おおたに ゆりこ,大谷,由里子,おおたに,ゆりこ,62,新,0,岐阜県,0,32030
国民,0,小野 貴樹,おの たかき,小野,貴樹,おの,たかき,54,新,0,神奈川県,0,21473
国民,0,城戸 佳織,きど かおり,城戸,佳織,きど,かおり,57,新,0,東京都,0,15889
国民,0,薬師寺 道代,やくしじ みちよ,薬師寺,道代,やくしじ,みちよ,61,元,1,東京都,0,14448
国民,0,大津 浩子,おおつ ひろこ,大津,浩子,おおつ,ひろこ,65,新,0,東京都,0,12780
国民,0,藤井 信吾,ふじい しんご,藤井,信吾,ふじい,しんご,65,新,0,茨城県,0,11343
国民,0,荒巻 豊志,あらまき とよし,荒巻,豊志,あらまき,とよし,60,新,0,東京都,0,9183
国民,0,川崎 稔,かわさき みのる,川崎,稔,かわさき,みのる,64,元,1,東京都,0,7205
国民,0,佐々木 喜一,ささき よしかず,佐々木,喜一,ささき,よしかず,66,新,0,京都府,0,7182
国民,0,武田 祐樹,たけだ ゆうき,武田,祐樹,たけだ,ゆうき,39,新,0,東京都,0,5092
国民,0,宮入 盛豪,みやいり せいご,宮入,盛豪,みやいり,せいご,35,新,0,群馬県,0,2879
れいわ,1,伊勢崎 賢治,いせざき けんじ,伊勢崎,賢治,いせざき,けんじ,68,新,1,東京都,1,NA
れいわ,0,木村 英子,きむら えいこ,木村,英子,きむら,えいこ,60,現,2,東京都,1,127653
れいわ,0,奥田 芙美代,おくだ ふみよ,奥田,芙美代,おくだ,ふみよ,48,新,1,福岡県,1,25454
れいわ,0,岡本 麻弥,おかもと まや,岡本,麻弥,おかもと,まや,58,新,0,東京都,0,21057
れいわ,0,ミサオ・ レッドウルフ,みさお・ れっどうるふ,ミサオ・,レッドウルフ,みさお・,れっどうるふ,60,新,0,東京都,0,19574
れいわ,0,蓮池 透,はすいけ とおる,蓮池,透,はすいけ,とおる,70,新,0,新潟県,0,18858
れいわ,0,長谷川 羽衣子,はせがわ ういこ,長谷川,羽衣子,はせがわ,ういこ,44,新,0,京都府,0,17850
れいわ,0,辻村 千尋,つじむら ちひろ,辻村,千尋,つじむら,ちひろ,57,新,0,東京都,0,14557
れいわ,0,二藤部 冬馬,にとうべ とうま,二藤部,冬馬,にとうべ,とうま,43,新,0,山形県,0,12090
れいわ,0,吉田 幸一郎,よしだ こういちろう,吉田,幸一郎,よしだ,こういちろう,45,新,0,福岡県,0,11306
れいわ,0,塩崎 稔,しおざき みのる,塩崎,稔,しおざき,みのる,41,新,0,新潟県,0,7415
れいわ,0,池沢 理美,いけざわ さとみ,池沢,理美,いけざわ,さとみ,63,新,0,東京都,0,5199
参政,0,梅村 みずほ,うめむら みずほ,梅村,みずほ,うめむら,みずほ,46,現,2,大阪府,1,211527
参政,0,安達 悠司,あだち ゆうじ,安達,悠司,あだち,ゆうじ,43,新,1,京都府,1,179121
参政,0,安藤 裕,あんどう ひろし,安藤,裕,あんどう,ひろし,60,新,1,京都府,1,118567
参政,0,松田 学,まつだ まなぶ,松田,学,まつだ,まなぶ,67,新,1,東京都,1,88419
参政,0,岩本 麻奈,いわもと まな,岩本,麻奈,いわもと,まな,60,新,1,東京都,1,56897
参政,0,山中 泉,やまなか せん,山中,泉,やまなか,せん,66,新,1,東京都,1,28234
参政,0,後藤 翔太,ごとう しょうた,後藤,翔太,ごとう,しょうた,42,新,1,神奈川県,1,24030
参政,0,川 裕一郎,かわ ゆういちろう,川,裕一郎,かわ,ゆういちろう,53,新,0,石川県,0,23819
参政,0,重松 貴美,しげまつ たかみ,重松,貴美,しげまつ,たかみ,36,新,0,佐賀県,0,14138
参政,0,寺西 一浩,てらにし かずひろ,寺西,一浩,てらにし,かずひろ,45,新,0,東京都,0,8718
社民,0,ラサール 石井,らさーる いしい,ラサール,石井,らさーる,いしい,69,新,1,神奈川県,1,207143
社民,0,大椿 裕子,おおつばき ゆうこ,大椿,裕子,おおつばき,ゆうこ,51,現,1,大阪府,0,59279
社民,0,山城 博治,やましろ ひろじ,山城,博治,やましろ,ひろじ,72,新,0,沖縄県,0,35779
社民,0,甲斐 正康,かい まさやす,甲斐,正康,かい,まさやす,47,新,0,NA,0,11339
社民,0,花岡 蔚,はなおか しげる,花岡,蔚,はなおか,しげる,82,新,0,埼玉県,0,5659
保守,0,北村 晴男,きたむら はるお,北村,晴男,きたむら,はるお,69,新,1,神奈川県,1,975122
保守,0,百田 尚樹,ひゃくた なおき,百田,尚樹,ひゃくた,なおき,69,新,1,兵庫県,1,128863
保守,0,有本 香,ありもと かおり,有本,香,ありもと,かおり,62,新,0,東京都,0,107026
保守,0,梅原 克彦,うめはら かつひこ,梅原,克彦,うめはら,かつひこ,71,新,0,東京都,0,13204
Ｎ党,0,浜田 聡,はまだ さとし,浜田,聡,はまだ,さとし,48,現,1,岡山県,0,335462
Ｎ党,0,福永 活也,ふくなが かつや,福永,活也,ふくなが,かつや,44,新,0,東京都,0,9604
Ｎ党,0,川崎 貴浩,かわさき たかひろ,川崎,貴浩,かわさき,たかひろ,33,新,0,東京都,0,7902
再生,0,浦野 仁,うらの じん,浦野,仁,うらの,じん,30,新,0,東京都,0,31120
再生,0,横山 春紀,よこやま はるき,横山,春紀,よこやま,はるき,36,新,0,東京都,0,8514
再生,0,小林 学,こばやし まなぶ,小林,学,こばやし,まなぶ,51,新,0,東京都,0,7254
再生,0,大谷 佳弘,おおたに よしひろ,大谷,佳弘,おおたに,よしひろ,54,新,0,東京都,0,3004
再生,0,木島 康雄,きじま やすお,木島,康雄,きじま,やすお,61,新,0,東京都,0,2980
再生,0,宜保 晴毅,ぎぼ はるき,宜保,晴毅,ぎぼ,はるき,57,新,0,東京都,0,2749
再生,0,宮田 崇生,みやた たかお,宮田,崇生,みやた,たかお,30,新,0,東京都,0,2688
再生,0,水野 純也,みずの じゅんや,水野,純也,みずの,じゅんや,63,新,0,東京都,0,1921
再生,0,金井 亨太,かない きょうた,金井,亨太,かない,きょうた,47,新,0,東京都,0,959
みらい,0,安野 貴博,あんの たかひろ,安野,貴博,あんの,たかひろ,34,新,1,東京都,1,239349
みらい,0,高山 聡史,たかやま さとし,高山,聡史,たかやま,さとし,38,新,0,東京都,0,8823
みらい,0,須田 英太郎,すだ えいたろう,須田,英太郎,すだ,えいたろう,34,新,0,東京都,0,5127
改革,0,沓沢 亮治,くつざわ りょうじ,沓沢,亮治,くつざわ,りょうじ,57,新,0,東京都,0,15257
誠真,0,吉野 敏明,よしの としあき,吉野,敏明,よしの,としあき,57,新,0,神奈川県,0,167085
誠真,0,木原 功仁哉,きはら くにや,木原,功仁哉,きはら,くにや,41,新,0,兵庫県,0,3617
無連,0,大西 恒樹,おおにし つねき,大西,恒樹,おおにし,つねき,61,新,0,長野県,0,55489
無連,0,藤村 晃子,ふじむら あきこ,藤村,晃子,ふじむら,あきこ,52,新,0,神奈川県,0,14272
